Date,11389800,11390000,11407800,11407800_I_ENGLB,11407800_I_MFY013,11407800_I_NFY029,11407900,11408000,11408500,11408550,11408870,11408880,11409000,11409300,11409350,11409400,11409500,11410000,11411500,11412000,11412500,11413000,11413250,11413300,11413500,11413510,11413515,11413515_I_NBLDB,11413517,11413520,11414000,11414090,11414090_I_ENGLB,11414090_I_SFY007,11414090_I_SPLDG,11414100,11414140,11414140_I_ENGLB,11414140_I_SPLDG,11414170,11414196,11414200,11414205,11414205_I_CMBIE,11414205_I_RLLNS,11414250,11414400,11414400_I_BOWMN,11414400_I_FRNCH,11414440,11414440_I_BOWMN,11414440_I_ENGLB,11414440_I_FRNCH,11414465,11414465_I_BOWMN,11414465_I_ENGLB,11414465_I_FRNCH,11415500,11416000,11416100,11416200,11416500,11416700,11417500,11418000,11418500,11418500_I_DER001,11419000,11420700,11421720,11421725,11421750,11421760,11421770,11421800,11421800_I_RLLNS,11422000,11422500,11423500,11424000,11426190,CAMP_FAR,CAMP_FAR_I_RLLNS,CHANGE_IN,ENGLEBRIGHT_DAM,LAKE_COMBIE,LAKE_COMBIE_I_RLLNS,LAKE_MERLE,OLD_BULLARDS,OLD_BULLARDS_I_NBLDB,SCOTTS_FLAT,SCOTTS_FLAT_I_DER001,WILSON_CREEK,YB-184,TOWLE_CANAL,NID_COMBIE_DIVERSIONS,CFWID_DIVERSIONS,SSWD_DIVERSIONS,DC-145,TARR_DITCH,DC-102,DS_CANAL_SPILLS_I_RLLNS,MERLC_RELEASE,DRY_CREEK_DIV_I_MERLC
1986-05-31,7.046479338842976,28.591735537190083,70.5,70.5,70.5,70.5,10.200793388429751,0.4728396694214877,,0.2275041322314049,18.8,11.522776859504132,,1.6232727272727272,20.4,0.4919008264462809,,,,,,81.53256198347107,9.83186776859504,0.6886611570247934,,43.28727272727273,957.711,957.711,,0.7132561983471074,50.54280991735537,47.2,47.2,47.2,47.2,30.227305785123967,73.8,73.8,73.8,51.391,44.89824793388431,7.126413223140496,0.0,0.0,0.0,33.787438016528924,13.84,13.84,13.84,4.065,4.065,4.065,4.065,3.03,3.03,3.03,3.03,69.0,7.944198347107436,9.389157024793388,9.647404958677686,5.337123966942149,,53.00231404958678,102.25388429752066,11.02780003140496,2.39801652892562,,,0.0,0.0,32.68680991735537,0.0,13.06611570247934,66.4,66.4,28.36423140495868,33.91656198347108,,8.829619834710744,1.752396694214876,103.1,103.1,,66.586,5.191,5.191,56.1,,,48.0,48.0,0.502353719,0.538631405,,7.810161322,2.037,21.99669421,2.231385124,2.863991405,2.29,1.338831074,4.135,
1986-06-30,4.790082644628099,14.483305785123967,69.5,69.5,69.5,69.5,10.901157024793388,2.0052892561983477,,0.2148099173553719,5.7,11.16297520661157,,0.6842975206611572,5.9,0.6545454545454545,,,,,,42.71206611570248,2.4991735537190083,0.6545454545454545,,74.02314049586776,946.522,946.522,,0.6128925619834711,20.582479338842976,45.4,45.4,45.4,45.4,21.903471074380164,72.0,72.0,72.0,48.871,40.82578512396695,5.801652892561983,1.2614876033057851,1.2614876033057851,1.2614876033057851,20.61223140495868,11.5,11.5,11.5,4.046,4.046,4.046,4.046,3.03,3.03,3.03,3.03,64.9,16.69685950413223,17.434710743801652,16.964628099173552,1.1841322314049587,,28.31206611570248,107.10743801652892,8.429260690082645,0.4409256198347108,,,0.0,1.029421487603306,31.418181818181814,1.5768595041322313,5.64694214876033,65.3,65.3,26.985123966942147,21.391735537190083,,1.7315702479338844,0.4022479338842975,91.8,91.8,,66.508,5.334,5.334,52.5,,,47.49,47.49,0.170181818,0.872330579,,7.597795041,2.348,21.94710744,3.076958678,2.877227107,2.48,1.846175207,4.752,
1986-07-31,2.268892561983471,8.67590082644628,62.3,62.3,62.3,62.3,7.243239669421488,6.892760330578512,,0.2182809917355372,1.6,1.94300826446281,,0.2760793388429752,1.1,0.8300826446280992,,,,,,16.5955041322314,0.5343272727272728,0.6763636363636364,,122.2988429752066,852.673,852.673,,0.5355570247933885,1.0760330578512396,26.0,26.0,26.0,26.0,21.569851239669426,60.6,60.6,60.6,40.32999999999999,38.26373553719008,3.664661157024793,2.963702479338843,2.963702479338843,2.963702479338843,0.4254942148760331,6.355,6.355,6.355,4.041,4.041,4.041,4.041,2.917,2.917,2.917,2.917,67.4,11.215338842975209,11.57196694214876,11.061619834710744,0.3394115702479338,,4.365619834710744,121.5609917355372,4.494672283471071,0.2416462809917355,,,0.0,1.3834710743801653,9.327669421487602,26.42122314049587,2.121322314049587,63.5,63.5,27.534148760330577,15.716231404958677,,0.8300826446280992,0.0532482644628099,70.6,70.6,,67.367,5.389,5.389,44.2,,,43.37,43.37,0.00614876,1.152396694,,8.024368264,2.56,25.33289256,3.476509091,3.005543802,2.95,2.085905455,5.076,
1986-08-31,1.3527272727272728,6.579173553719008,57.8,57.8,57.8,57.8,4.0458842975206615,3.88601652892562,,0.2096727272727272,0.9,1.5310413223140495,,0.1684760330578512,0.5,0.6271735537190082,,,,,,11.492033057851245,0.0676363636363636,0.6517685950413223,,87.18942148760331,783.574,783.574,,0.4433256198347106,0.5060429752066117,12.0,12.0,12.0,12.0,16.558611570247933,54.9,54.9,54.9,32.527,30.33798347107438,4.218049586776859,3.9167603305785126,3.9167603305785126,3.9167603305785126,0.4248793388429752,0.0,0.0,0.0,4.01,4.01,4.01,4.01,1.261,1.261,1.261,1.261,61.4,14.750876033057851,14.185190082644628,14.06221487603306,0.3732297520661157,,3.209652892561984,86.02115702479338,2.1666453439365894,0.2668561983471074,,,0.0,1.512595041322314,8.743537190082643,20.063404958677687,1.6355702479338845,60.4,60.4,27.958413223140496,6.591471074380165,,0.707107438016529,0.6702148760330578,42.0,42.0,,66.862,4.076,4.076,41.7,,,37.85,37.85,0.003689256,1.243636364,,8.174975207,2.182,23.60132231,3.607477686,3.117689256,3.03,2.164486612,4.801,
1986-09-30,3.1299173553719006,10.06809917355372,48.9,48.9,48.9,48.9,8.830413223140496,8.848264462809917,,0.2219504132231405,1.0,2.3563636363636364,,0.4034380165289256,1.1,0.3879669421487603,,,,,,13.650247933884298,1.2555371900826446,0.7676033057851241,,103.95371900826446,705.771,705.771,,0.4189090909090908,1.5054545454545454,6.38,6.4,6.38,6.38,7.568925619834711,40.4,40.4,40.4,39.356,37.10082644628099,3.9808264462809926,3.296528925619835,3.296528925619835,3.296528925619835,0.6128925619834711,0.0,0.0,0.0,4.01,4.01,4.01,4.01,1.165,1.165,1.165,1.165,55.2,16.07801652892562,17.393057851239668,17.274049586776858,0.5028099173553718,,5.408925619834711,113.29586776859504,3.921707495642884,0.731900826446281,,,0.0,1.356694214876033,11.008264462809915,25.68198347107438,0.7854545454545454,62.9,62.9,27.175537190082643,12.079338842975206,,0.7021487603305785,1.32099173553719,37.9,37.9,,61.516,5.318,5.318,36.7,,,35.34,35.34,0.010710744,1.057190083,,6.459429421,0.569,9.824132231,2.903206612,2.548318017,2.63,1.741923967,3.213,
1986-10-31,3.55398347107438,9.389157024793388,42.2,42.2,42.2,42.2,6.825123966942149,6.683702479338843,,0.2139768595041322,0.8,2.5886280991735537,,0.2293487603305784,0.9,0.5072727272727271,,,,,,13.035371900826446,0.9100165289256198,0.7378512396694215,,64.00859504132231,663.923,663.923,,0.4101223140495869,2.711603305785124,7.69,7.7,7.69,7.69,0.6702148760330578,53.1,53.1,53.1,1.3469999999999998,0.0,6.370115702479339,5.613818181818182,5.613818181818182,5.613818181818182,0.4267239669421488,0.716,0.716,0.716,3.997,3.997,3.997,3.997,1.156,1.156,1.156,1.156,49.0,13.650247933884298,14.246677685950411,14.142148760330578,0.351094214876033,,4.525487603305784,69.48099173553719,6.309148291561247,3.941355371900826,,,,0.996099173553719,0.0,0.3836826446280991,0.731702479338843,32.2,32.2,25.345190082644628,5.343272727272728,,0.7255537190082645,0.0102684297520661,41.6,41.6,,59.44,3.048,3.048,35.0,,,34.32,34.32,0.019676033,0.864793388,,5.499637686,0.0,2.029090909,3.510942149,2.123133223,2.44,2.106565289,2.646,
1986-11-30,2.3801652892561984,7.985454545454544,36.0,36.0,36.0,36.0,6.176528925619834,6.36694214876033,,0.2082644628099173,0.6,2.3920661157024794,,0.2130247933884298,0.7,0.3564297520661157,,,,,,9.229090909090912,0.3826115702479338,0.6426446280991736,,45.27074380165289,634.972,634.972,,0.4004628099173554,0.6783471074380165,7.41,7.4,7.41,7.41,0.6545454545454545,58.5,58.5,58.5,1.755,0.4742479338842975,5.456528925619835,4.010578512396695,4.010578512396695,4.010578512396695,0.4177190082644628,0.179,0.179,0.179,3.987,3.987,3.987,3.987,1.174,1.174,1.174,1.174,45.5,10.56198347107438,10.30611570247934,10.419173553719007,0.2725289256198347,,4.064132231404959,48.96,2.716370248917749,0.5712396694214876,,,,1.5352066115702478,0.0,0.3808264462809917,0.7378512396694215,29.2,29.2,3.2191735537190085,1.416198347107438,,1.0651239669421488,0.0156495867768595,43.9,43.9,,59.3,2.497,2.497,32.9,,,34.43,34.43,0.007140496,1.247603306,,2.248946777,0.0,0.0,1.883305785,0.74812562,1.84,1.129983471,1.209,
1986-12-31,1.906115702479339,8.005685950413222,30.0,30.0,30.0,30.0,6.013487603305785,6.253289256198348,,0.2152066115702479,0.8,1.272793388429752,,0.2859173553719009,0.9,0.5343272727272728,,,,,,9.050975206611568,0.5404760330578512,0.7317024793388428,,36.82492561983471,615.854,615.854,,0.4125818181818181,0.5060429752066117,7.1,7.1,7.1,7.1,0.7378512396694215,40.9,40.9,40.9,32.299,32.31788429752066,3.689256198347108,3.1543140495867767,3.1543140495867767,3.1543140495867767,0.3775338842975206,0.2,0.2,0.2,3.98,3.98,3.98,3.98,3.03,3.03,3.03,3.03,35.3,16.982876033057853,16.386446280991734,16.601652892561983,0.3338776859504131,,4.254942148760331,41.325818181818185,1.5622330379434424,0.5749090909090909,,,,0.8731239669421488,9.223140495867767,23.297652892561985,0.5601520661157023,50.9,50.9,13.957685950413223,1.2604958677685951,,1.051438016528926,1.918413223140496,45.6,45.6,,59.86,2.978,2.978,32.1,,,35.26,35.26,0.00614876,0.759669421,,1.411441983,0.0,0.0,0.112522314,0.610492562,1.55,0.067513388,0.899,
1987-01-31,2.9452561983471077,12.03312396694215,27.8,27.8,27.8,27.8,2.8222809917355374,2.6501157024793387,,0.2145917355371901,2.6,0.4365619834710744,,0.8546776859504133,3.0,3.424859504132232,,,,,,11.762578512396692,1.826181818181818,0.7194049586776858,,39.24138842975207,605.649,605.649,,0.4267239669421488,0.8423801652892562,7.07,7.1,7.07,7.07,0.7378512396694215,37.9,37.9,37.9,12.186999999999998,13.34895867768595,4.021289256198348,3.178909090909091,3.178909090909091,3.178909090909091,0.5988892561983471,0.2,0.2,0.2,3.987355712890625,3.987355712890625,3.987355712890625,3.987355712890625,3.03,3.03,3.03,3.03,31.3,7.974942148760329,8.454545454545455,8.595966942148761,0.3326479338842975,,7.858115702479338,50.86869421487604,4.793548909816162,2.244297520661157,,,,0.744,8.602115702479338,3.732297520661157,0.3566280991735537,55.5,55.5,12.223735537190082,1.1190743801652892,,1.0268429752066115,1.3404297520661157,51.2,51.2,,60.26,4.275,4.275,34.3,,,37.85,37.85,0.010452893,0.616859501,,1.158716033,0.0,0.0,0.130968595,0.534267769,1.54,0.078581157,0.545,
1987-02-28,4.2374876033057856,21.85388429752066,28.8,28.8,28.8,28.8,1.0052231404958678,1.0885289256198347,,0.1899371900826446,10.7,3.248925619834711,,3.2933553719008257,12.3,2.0937520661157025,,,,,,32.41150413223141,8.602710743801651,4.942809917355372,,18.73269421487603,671.207,671.207,,0.3693223140495867,4.842842975206611,8.3,8.3,8.3,8.3,0.6553388429752066,38.8,38.8,38.8,15.116999999999996,15.217190082644628,2.9434710743801653,2.4380826446280994,2.4380826446280994,2.4380826446280994,0.98300826446281,0.3,0.3,0.3,3.99947119140625,3.99947119140625,3.99947119140625,3.99947119140625,3.03,3.03,3.03,3.03,34.4,2.732429752066116,3.8542809917355374,4.2652561983471085,0.3598809917355371,,18.327272727272728,47.56204958677686,11.129004504463932,6.903272727272728,,,,0.5353785123966942,7.086545454545455,10.568727272727273,0.3265586776859503,54.4,54.4,22.0982479338843,4.570710743801653,,1.105190082644628,0.5886942148760331,73.7,73.7,,59.12,5.113,5.113,42.5,,,41.53,41.53,0.062201653,0.392132227,,0.706212893,0.113,0.0,0.142175207,0.465143802,1.59,0.085305124,0.282,
