,I_BOWMN,I_BRR023,I_CMBIE,I_CMPFW,I_DER001,I_DER004,I_DHC021,I_ENGLB,I_FRDYC,I_FRNCH,I_JKSMD,I_LCBRF,I_MERLC,I_MFY013,I_NBLDB,I_NFY029,I_OGN005,I_RLLNS,I_SCOTF,I_SFD003,I_SFY007,I_SFY048,I_SLT009,I_SPLDG,I_WLF013
1921-10-31,1.43,0.15,0.05,0.03,0.75,0.86,1.47,1.9,2.51,0.29,0.65,0.46,1.7861152306386932,1.62,5.63,9.64,0.41,0.23,0.86,0.21,3.02,1.83,1.38,1.59,0.03
1921-11-30,1.88,1.09,0.36,0.19,0.82,0.94,2.13,5.06,2.06,0.38,1.0,0.94,2.1537272907085643,1.45,7.41,11.08,0.76,1.62,0.94,0.23,3.55,2.25,2.31,2.75,0.23
1921-12-31,3.31,9.33,3.07,1.59,1.27,1.45,6.77,4.12,2.65,0.68,1.91,1.9,8.874839280111269,5.71,13.56,17.92,4.0,14.23,1.45,0.36,6.3,3.84,4.78,5.12,1.93
1922-01-31,3.44,6.81,2.24,1.16,1.9,2.17,5.92,14.21,2.14,0.7,2.36,2.24,4.876265171892506,4.8,20.61,22.14,4.25,10.57,2.17,0.54,10.58,4.38,7.1,5.47,1.41
1922-02-28,4.74,47.03,15.47,7.99,2.69,3.07,16.51,0.0,2.88,0.97,3.29,3.12,10.462659091091261,21.9,32.09,30.9,13.56,80.67,3.07,0.77,15.04,6.05,10.12,7.54,9.73
1922-03-31,4.84,29.37,9.66,4.99,4.58,5.23,10.94,13.42,2.96,0.99,3.75,3.46,12.390117987871598,20.62,47.8,41.97,13.22,58.08,5.23,1.31,24.26,6.44,13.83,9.1,6.08
1922-04-30,8.72,14.14,4.65,2.4,8.91,10.18,11.1,31.85,5.52,1.79,6.61,6.79,12.714209538421265,39.16,94.94,79.41,17.1,36.5,10.18,2.55,47.55,12.09,26.69,16.81,2.93
1922-05-31,28.43,7.54,2.48,1.28,14.5,16.57,10.45,42.17,24.47,5.82,28.52,27.25,10.65510423578386,105.22,201.52,219.09,17.78,27.84,16.57,4.14,97.64,55.9,71.96,43.7,1.56
1922-06-30,33.26,2.04,0.67,0.35,3.27,3.74,1.72,10.02,55.04,6.81,45.28,27.52,2.7726319068801075,54.21,79.92,198.27,4.39,12.06,3.74,0.93,27.48,77.53,37.76,31.24,0.42
1922-07-31,5.7,0.12,0.04,0.02,0.7,0.8,0.45,3.78,12.19,1.17,6.82,3.42,0.6367388537884722,6.22,16.0,43.22,0.79,3.06,0.8,0.2,5.78,12.27,4.69,5.21,0.03
1922-08-31,1.55,0.0,0.0,0.0,0.5,0.57,0.18,2.04,2.4,0.32,1.03,0.43,0.994465068562775,2.74,8.63,18.17,0.23,2.89,0.57,0.14,3.4,2.33,1.36,1.89,0.0
1922-09-30,1.06,0.21,0.07,0.04,0.41,0.47,0.15,4.06,2.47,0.22,0.28,0.19,0.6635283091949162,2.07,4.77,11.21,0.12,5.5,0.47,0.12,2.7,1.54,0.81,0.92,0.04
1922-10-31,2.18,2.49,0.82,0.42,0.96,1.1,1.26,4.13,3.09,0.45,1.02,0.88,1.5317145676986679,2.1,7.49,13.15,0.47,3.65,1.1,0.27,3.75,2.69,2.22,2.84,0.52
1922-11-30,3.03,4.32,1.42,0.73,1.1,1.26,3.57,7.22,2.34,0.62,1.69,1.74,4.620600988555586,3.89,11.08,15.79,1.55,6.52,1.26,0.31,5.28,3.54,4.2,4.68,0.89
1922-12-31,6.37,32.19,10.59,5.47,3.53,4.03,13.13,3.4,3.81,1.3,4.28,4.19,10.344607458989099,26.81,38.85,40.82,11.19,52.05,4.03,1.01,19.56,8.21,13.26,10.23,6.66
1923-01-31,4.2,17.6,5.79,2.99,3.7,4.23,6.99,17.61,2.54,0.86,3.1,2.99,7.796320541429484,15.36,38.52,34.8,5.2,31.18,4.23,1.06,19.45,5.43,11.38,8.11,3.64
1923-02-28,3.01,9.73,3.2,1.65,2.83,3.23,3.91,14.08,1.88,0.62,2.18,2.35,4.7243458603415185,11.64,29.47,26.21,3.41,17.68,3.23,0.81,15.32,4.19,8.73,5.83,2.01
1923-03-31,4.34,8.54,2.81,1.45,3.91,4.47,3.41,19.89,2.72,0.89,3.16,3.52,4.124025332609932,15.66,42.77,37.58,3.61,17.51,4.47,1.12,22.06,6.31,12.74,8.16,1.77
1923-04-30,10.1,18.61,6.12,3.16,5.48,6.26,5.12,3.76,7.49,2.07,9.08,9.43,5.576560708270748,49.91,70.86,77.3,8.8,44.2,6.26,1.57,36.25,18.65,26.2,16.37,3.85
1923-05-31,20.02,4.74,1.56,0.81,3.28,3.75,1.28,0.94,25.93,4.1,24.39,18.61,1.6522958920559316,49.47,63.64,119.51,2.41,16.19,3.75,0.94,23.39,46.06,30.3,22.83,0.98
1923-06-30,10.94,2.71,0.89,0.46,0.91,1.04,0.45,0.64,19.08,2.24,14.16,8.59,0.757294048470456,18.48,19.78,62.75,0.99,11.76,1.04,0.26,5.38,25.21,10.67,10.14,0.56
1923-07-31,4.57,0.97,0.32,0.17,0.4,0.46,0.21,3.51,9.22,0.94,5.61,2.96,0.3160443402642841,3.6,8.75,29.23,0.37,5.07,0.46,0.11,2.41,10.11,3.57,4.08,0.2
1923-08-31,1.82,0.15,0.05,0.03,0.36,0.41,0.11,2.64,3.71,0.37,1.61,0.78,0.35808542876574734,1.36,6.75,17.16,0.16,5.46,0.41,0.1,2.45,3.4,1.42,1.98,0.03
1923-09-30,1.21,0.06,0.02,0.01,0.42,0.48,0.12,3.16,2.31,0.25,0.41,0.23,0.6996739912311866,2.36,5.29,12.91,0.29,5.75,0.48,0.12,2.68,1.7,0.92,1.24,0.01
1923-10-31,2.96,2.19,0.72,0.37,0.69,0.79,0.73,6.74,2.56,0.61,1.27,1.53,1.2234995754146054,1.88,4.32,12.62,0.54,2.33,0.79,0.2,1.57,3.53,2.95,4.45,0.45
1923-11-30,1.93,1.31,0.43,0.22,0.57,0.65,0.95,7.17,1.05,0.39,1.0,1.21,1.8454074843853323,1.14,5.07,9.12,0.71,1.42,0.65,0.16,2.24,2.45,2.79,3.06,0.27
1923-12-31,1.58,2.07,0.68,0.35,0.77,0.88,1.05,8.12,0.88,0.32,0.9,1.08,1.021225961630062,2.32,6.31,9.77,1.04,2.35,0.88,0.22,3.3,2.0,3.02,3.04,0.43
1924-01-31,1.78,2.86,0.94,0.49,0.91,1.04,1.12,9.58,1.02,0.36,1.0,1.31,1.052648298910987,2.83,7.73,11.47,1.07,3.43,1.04,0.26,4.09,2.39,3.59,3.44,0.59
1924-02-29,4.06,4.44,1.46,0.75,1.78,2.03,2.68,11.75,2.41,0.83,2.42,3.47,4.078892120628476,11.95,16.03,25.65,3.01,5.55,2.03,0.51,8.34,6.27,8.35,7.6,0.92
1924-03-31,2.71,2.58,0.85,0.44,0.54,0.62,1.41,4.32,2.16,0.56,2.11,2.44,2.4107026359393924,3.97,5.84,14.07,0.54,3.57,0.62,0.15,2.24,5.5,4.27,3.79,0.53
1924-04-30,6.75,1.49,0.49,0.25,0.63,0.72,0.65,0.0,7.88,1.38,6.3,6.06,1.024809393428507,9.51,6.28,30.27,1.55,2.07,0.72,0.18,0.0,15.2,7.36,8.11,0.31
1924-05-31,4.86,1.34,0.44,0.23,0.24,0.27,0.34,0.0,7.16,1.0,4.88,3.93,0.39173848404950995,5.14,1.49,20.53,0.38,2.36,0.27,0.07,0.0,11.1,3.75,5.08,0.28
1924-06-30,2.0,0.3,0.1,0.05,0.08,0.09,0.11,0.0,3.61,0.41,1.98,1.31,0.2850035731868257,0.44,0.1,8.77,0.1,0.54,0.09,0.02,0.0,4.45,1.11,1.91,0.06
1924-07-31,1.28,0.76,0.25,0.13,0.06,0.07,0.11,0.0,2.39,0.26,1.2,0.79,0.26286297049745855,0.22,0.24,6.24,0.08,1.38,0.07,0.02,0.0,2.76,0.71,1.29,0.16
1924-08-31,0.78,1.22,0.4,0.21,0.08,0.09,0.08,0.14,1.54,0.16,0.57,0.34,0.18627773765236455,0.74,0.56,5.23,0.07,2.93,0.09,0.02,0.0,1.49,0.42,0.9,0.25
1924-09-30,0.63,0.46,0.15,0.08,0.12,0.14,0.05,1.07,1.04,0.13,0.18,0.12,0.3538585607382245,1.14,0.7,5.11,0.07,2.16,0.14,0.03,0.39,0.86,0.34,0.72,0.09
1924-10-31,1.81,1.49,0.49,0.25,0.81,0.93,0.66,2.55,2.74,0.37,0.82,0.68,0.8779337611315913,2.32,6.04,11.09,0.41,2.12,0.93,0.23,3.08,2.26,1.73,2.29,0.31
1924-11-30,2.77,1.85,0.61,0.31,0.96,1.1,1.62,3.99,2.17,0.57,1.52,1.58,1.8190855050607917,5.47,9.8,14.12,1.22,2.75,1.1,0.27,4.46,3.2,3.73,4.29,0.38
1924-12-31,2.99,5.35,1.76,0.91,1.49,1.7,2.85,4.65,1.83,0.61,1.94,1.93,4.247092569600491,10.88,15.95,18.16,2.95,7.98,1.7,0.43,8.18,3.8,5.77,4.77,1.11
1925-01-31,3.35,5.05,1.66,0.86,1.86,2.13,2.33,6.91,1.99,0.69,2.25,2.21,1.9710738054393022,10.8,20.84,21.58,3.8,7.6,2.13,0.53,10.45,4.37,7.0,5.34,1.04
1925-02-28,11.16,28.55,9.39,4.85,9.96,11.38,13.96,21.36,6.88,2.29,8.09,8.53,12.910149034656625,64.78,104.99,94.52,16.12,47.64,11.38,2.85,54.26,15.37,31.43,21.37,5.91
1925-03-31,5.89,11.89,3.91,2.02,4.09,4.67,4.25,17.26,3.9,1.21,4.71,5.61,5.317560311289348,23.75,48.09,48.41,3.85,21.93,4.67,1.17,24.98,9.83,16.91,11.01,2.46
1925-04-30,13.65,13.38,4.4,2.27,3.32,3.79,4.93,0.0,14.19,2.8,15.0,13.11,5.46839712954608,42.68,57.39,87.37,7.04,28.59,3.79,0.95,25.51,30.24,25.91,17.32,2.77
1925-05-31,17.23,4.65,1.53,0.79,1.59,1.82,0.66,0.0,26.92,3.53,22.26,14.61,1.1716870443078662,31.38,35.59,96.05,2.37,13.06,1.82,0.45,9.37,40.16,19.09,16.87,0.96
1925-06-30,6.32,2.13,0.7,0.36,0.45,0.51,0.24,0.0,12.42,1.29,8.03,4.3,0.4045436177944737,10.18,9.98,37.08,1.05,7.79,0.51,0.13,2.25,14.27,4.93,5.49,0.44
1925-07-31,1.73,1.55,0.51,0.26,0.27,0.31,0.14,0.0,3.87,0.35,1.69,0.85,0.2055769723774432,3.08,5.36,14.78,0.27,6.22,0.31,0.08,1.83,3.5,1.3,1.74,0.32
1925-08-31,1.01,1.22,0.4,0.21,0.28,0.32,0.08,0.71,1.64,0.21,0.69,0.31,0.4635104003816508,2.12,4.55,10.88,0.14,6.17,0.32,0.08,1.77,1.59,0.83,1.24,0.25
1925-09-30,0.9,0.21,0.07,0.04,0.31,0.35,0.08,2.04,1.9,0.18,0.26,0.17,0.3858838670386149,2.43,3.61,9.25,0.16,8.07,0.35,0.09,1.98,1.29,0.66,0.86,0.04
1925-10-31,1.89,2.1,0.69,0.36,0.7,0.8,0.8,2.71,2.42,0.39,0.85,0.8,1.0326734501697978,2.4,5.25,10.28,0.31,2.98,0.8,0.2,2.53,2.29,1.85,2.56,0.43
1925-11-30,2.38,1.88,0.62,0.32,0.82,0.94,1.5,7.16,1.71,0.49,1.29,1.4,1.7813223060553303,2.69,7.47,11.97,0.64,2.77,0.94,0.23,3.83,2.83,3.31,3.72,0.39
1925-12-31,2.71,2.4,0.79,0.41,1.22,1.39,2.4,9.32,1.6,0.56,1.68,1.75,3.5656893468201014,4.45,13.62,15.55,0.88,3.55,1.39,0.35,6.59,3.43,4.98,4.35,0.5
1926-01-31,2.22,4.32,1.42,0.73,1.4,1.6,3.37,5.94,1.28,0.45,1.47,1.5,2.8449639138695826,8.79,13.93,15.25,1.62,6.43,1.6,0.4,7.71,2.91,4.91,3.85,0.89
1926-02-28,6.18,29.52,9.71,5.01,4.96,5.67,10.71,11.74,3.73,1.27,4.18,4.66,9.687066572139445,32.86,50.13,49.13,8.84,48.72,5.67,1.42,27.27,8.4,16.12,11.9,6.11
1926-03-31,5.69,5.93,1.95,1.01,3.63,4.15,3.7,17.31,3.64,1.17,4.21,5.18,4.636104178962292,20.43,40.93,43.91,2.88,10.67,4.15,1.04,22.08,9.22,15.06,10.6,1.23
1926-04-30,16.1,17.72,5.83,3.01,2.74,3.13,7.01,0.0,18.82,3.3,17.67,14.8,8.278632435560933,42.8,46.47,91.62,6.65,39.5,3.13,0.78,16.99,36.19,24.42,19.14,3.67
1926-05-31,9.29,3.89,1.28,0.66,0.69,0.79,0.47,0.0,15.46,1.9,11.24,7.34,0.8379720113754132,15.01,12.98,49.13,1.35,13.94,0.79,0.2,1.3,21.36,8.55,8.94,0.81
1926-06-30,3.01,0.73,0.24,0.12,0.21,0.24,0.13,0.84,5.86,0.62,3.52,1.98,0.20975893525999822,2.9,3.87,17.15,0.35,3.42,0.24,0.06,0.27,6.68,2.16,2.74,0.15
1926-07-31,1.16,0.43,0.14,0.07,0.16,0.18,0.12,0.44,2.54,0.24,1.07,0.56,0.1896386827344898,1.45,2.82,9.24,0.09,2.88,0.18,0.05,0.8,2.33,0.8,1.2,0.09
1926-08-31,0.69,0.0,0.0,0.0,0.18,0.21,0.09,0.75,1.04,0.14,0.42,0.19,0.4225548728126043,1.2,2.61,7.16,0.06,4.04,0.21,0.05,1.05,1.04,0.53,0.88,0.0
1926-09-30,0.66,0.24,0.08,0.04,0.2,0.23,0.08,1.69,1.38,0.14,0.18,0.12,0.41280091683926656,1.42,2.08,6.33,0.08,2.27,0.23,0.06,1.21,0.94,0.45,0.65,0.05
1926-10-31,1.28,1.67,0.55,0.28,0.68,0.78,0.9,0.45,2.24,0.26,0.18,0.41,1.0827770133079064,3.21,5.13,8.67,0.3,2.47,0.78,0.19,2.74,1.63,1.24,1.42,0.35
1926-11-30,8.71,12.19,4.01,2.07,4.03,4.61,7.82,5.87,7.32,1.78,3.92,5.02,9.60742557046601,33.77,41.06,51.82,5.45,18.9,4.61,1.15,20.35,10.55,13.91,13.3,2.52
1926-12-31,5.05,5.59,1.84,0.95,2.91,3.33,5.2,15.83,3.1,1.03,3.92,3.33,5.149833146620104,13.71,34.8,33.17,2.21,8.81,3.33,0.83,16.16,6.44,10.87,8.1,1.16
1927-01-31,4.85,16.57,5.45,2.81,4.32,4.94,9.56,15.74,2.94,0.99,5.61,3.41,6.035927311937497,21.18,45.64,40.57,6.44,26.7,4.94,1.23,23.2,6.44,13.38,8.76,3.43
1927-02-28,13.34,60.62,19.94,10.3,13.62,15.57,23.32,0.0,8.43,2.73,8.18,10.37,22.92106787054608,117.58,147.36,121.91,25.31,111.26,15.57,3.89,73.26,18.55,41.09,25.51,12.54
1927-03-31,9.48,13.65,4.49,2.32,7.43,8.49,9.09,19.42,6.42,1.94,9.22,9.11,10.872180864262333,47.55,90.67,83.49,9.45,28.77,8.49,2.12,45.23,15.92,29.49,17.72,2.82
1927-04-30,15.41,23.26,7.65,3.95,4.91,5.61,6.04,0.0,15.4,3.16,15.24,15.26,5.463607519583057,63.74,90.39,109.42,12.13,67.32,5.61,1.4,39.61,33.95,34.06,20.61,4.81
1927-05-31,24.1,3.01,0.99,0.51,2.91,3.33,1.3,7.98,34.93,4.94,33.17,21.41,2.1020590535751755,46.96,65.97,144.05,4.03,13.54,3.33,0.83,26.03,56.4,32.64,24.04,0.62
1927-06-30,17.72,1.34,0.44,0.23,1.52,1.74,0.35,6.94,34.1,3.63,26.69,13.0,0.5112242132273934,23.91,36.36,110.91,1.2,7.15,1.74,0.43,13.35,40.47,16.41,15.43,0.28
1927-07-31,3.1,0.33,0.11,0.06,0.59,0.67,0.16,0.0,6.93,0.64,3.4,1.47,0.32326329574247836,6.36,12.43,29.24,0.29,6.73,0.67,0.17,4.69,6.15,2.55,3.14,0.07
1927-08-31,1.15,0.0,0.0,0.0,0.44,0.5,0.1,2.14,1.61,0.24,0.42,0.24,1.0116476183833782,2.41,7.06,14.39,0.13,5.66,0.5,0.13,2.94,1.56,1.03,1.41,0.0
1927-09-30,1.01,0.55,0.18,0.09,0.4,0.46,0.11,3.77,2.34,0.21,0.24,0.18,0.30860042868852133,2.11,4.63,10.71,0.12,4.24,0.46,0.11,2.61,1.46,0.77,0.87,0.11
1927-10-31,2.0,3.01,0.99,0.51,0.88,1.01,0.96,2.44,3.11,0.41,0.26,0.83,1.1953629151799499,2.62,6.47,11.5,0.23,4.41,1.01,0.25,1.71,2.46,1.64,2.71,0.62
1927-11-30,7.9,5.72,1.88,0.97,2.34,2.67,4.84,11.94,5.34,1.62,2.78,5.11,5.993019318524103,13.67,23.72,31.29,2.31,8.61,2.67,0.67,0.0,9.76,8.73,12.14,1.18
1927-12-31,6.49,7.6,2.5,1.29,1.67,1.91,3.86,0.0,3.85,1.33,1.59,4.56,4.48017897477028,9.39,19.65,19.46,1.84,11.56,1.91,0.48,0.0,8.48,6.35,11.43,1.57
1928-01-31,4.13,3.98,1.31,0.68,2.5,2.86,4.57,13.23,2.51,0.85,1.33,3.21,3.02413089177805,13.44,26.87,26.4,3.44,6.09,2.86,0.71,9.31,5.67,8.63,7.61,0.82
1928-02-29,5.66,20.06,6.6,3.41,3.17,3.62,8.67,11.95,3.59,1.16,1.35,4.89,5.649244513113164,17.26,33.8,29.26,4.02,33.81,3.62,0.91,1.94,8.6,9.61,10.41,4.15
1928-03-31,19.96,33.2,10.92,5.64,16.58,18.95,20.0,33.54,18.66,4.09,21.93,19.47,23.671916913316146,126.32,201.07,195.61,22.25,63.18,18.95,4.74,110.45,41.5,65.61,28.77,6.87
1928-04-30,9.97,11.43,3.76,1.94,2.85,3.26,3.97,10.13,14.7,2.04,14.0,8.5,3.5551205401828985,41.35,55.97,104.15,8.04,31.54,3.26,0.81,66.37,23.26,26.42,9.79,2.37
1928-05-31,15.25,1.22,0.4,0.21,1.68,1.92,0.81,17.9,27.22,3.12,23.14,12.12,1.344374128324695,22.03,39.26,112.55,1.57,4.88,1.92,0.48,35.63,34.86,19.45,14.86,0.25
1928-06-30,2.17,1.55,0.51,0.26,0.4,0.46,0.29,0.27,4.62,0.44,3.71,1.5,0.4465760823222382,5.71,8.82,24.48,0.5,6.25,0.46,0.11,9.18,4.72,2.56,2.22,0.32
1928-07-31,1.1,1.31,0.43,0.22,0.29,0.33,0.15,0.76,2.58,0.22,0.58,0.59,0.1820213635782153,2.85,5.33,12.6,0.2,6.25,0.33,0.08,2.08,2.3,1.03,1.17,0.27
1928-08-31,1.64,0.55,0.18,0.09,0.26,0.3,0.09,0.0,3.64,0.34,0.44,0.66,0.8182416070754356,1.96,4.0,8.72,0.12,5.31,0.3,0.07,0.0,2.45,0.62,2.95,0.11
1928-09-30,0.28,0.09,0.03,0.02,0.28,0.32,0.09,2.73,0.89,0.06,0.28,0.08,0.3304453247469823,1.68,3.18,7.81,0.11,6.59,0.32,0.08,3.88,0.43,0.56,0.49,0.02
1928-10-31,0.81,3.8,1.25,0.65,0.55,0.63,0.73,8.67,1.45,0.17,0.16,0.28,1.0577946630431219,1.88,3.83,8.76,0.18,5.11,0.63,0.16,1.16,1.01,1.65,1.09,0.79
1928-11-30,2.72,3.77,1.24,0.64,0.62,0.71,1.41,3.89,2.17,0.56,0.2,1.63,2.4863359864605323,3.42,5.42,9.41,0.43,5.19,0.71,0.18,0.0,3.22,2.67,4.22,0.78
1928-12-31,1.11,3.86,1.27,0.66,0.92,1.05,1.76,13.66,0.65,0.23,0.62,0.74,1.6192018173955227,7.44,9.69,12.71,1.01,5.6,1.05,0.26,2.06,1.44,4.01,1.72,0.8
1929-01-31,0.89,3.22,1.06,0.55,0.94,1.07,1.42,14.5,0.52,0.18,0.45,0.59,1.1809181108974611,4.14,8.67,10.4,0.66,4.88,1.07,0.27,1.59,1.15,3.3,1.38,0.67
1929-02-28,2.0,9.82,3.23,1.67,1.25,1.43,2.85,6.98,1.16,0.41,0.39,1.35,3.672680858033166,12.21,12.11,13.58,1.85,15.41,1.43,0.36,1.24,2.59,4.31,3.23,2.03
1929-03-31,6.35,5.75,1.89,0.98,2.26,2.58,2.13,3.81,3.75,1.3,2.84,4.76,3.245153165142053,13.95,21.76,24.01,2.62,9.93,2.58,0.65,0.0,8.64,7.86,11.81,1.19
1929-04-30,7.33,3.92,1.29,0.67,2.35,2.69,1.58,5.46,4.98,1.5,5.84,6.77,2.361507552698315,18.11,26.24,35.02,4.34,7.1,2.69,0.67,0.14,12.93,11.77,12.85,0.81
1929-05-31,16.14,1.82,0.6,0.31,1.63,1.86,0.72,0.0,20.38,3.31,15.77,14.62,0.8615328159397837,20.63,25.33,66.04,1.65,4.14,1.86,0.47,0.0,37.07,16.49,18.46,0.38
1929-06-30,6.26,2.83,0.93,0.48,0.39,0.45,0.2,0.0,11.5,1.28,6.88,4.83,0.4304398861671501,11.03,5.45,32.37,0.8,7.09,0.45,0.11,0.0,14.28,5.17,6.35,0.59
1929-07-31,3.44,1.25,0.41,0.21,0.14,0.16,0.09,0.0,7.2,0.71,0.79,2.13,0.17902731602274002,2.96,2.02,11.51,0.19,4.21,0.16,0.04,0.0,7.07,1.31,4.17,0.26
1929-08-31,0.55,0.76,0.25,0.13,0.14,0.16,0.06,2.59,1.45,0.11,0.38,0.16,0.09829046742610004,1.72,1.96,7.77,0.07,2.73,0.16,0.04,0.47,0.84,0.63,1.07,0.16
1929-09-30,0.0,0.67,0.22,0.11,0.18,0.21,0.05,5.45,0.0,0.0,0.3,0.0,0.4056671777618454,1.33,1.72,6.4,0.06,5.82,0.21,0.05,0.88,0.0,0.44,0.0,0.14
1929-10-31,1.88,0.55,0.18,0.09,0.52,0.59,0.75,0.0,2.72,0.38,0.17,0.82,0.9467356050729133,1.94,3.64,7.04,0.08,0.75,0.59,0.15,0.0,2.3,1.0,2.62,0.11
1929-11-30,1.01,0.4,0.13,0.07,0.44,0.5,0.86,3.77,0.79,0.21,0.1,0.61,0.9521318741626473,1.3,3.95,6.36,0.14,0.55,0.5,0.13,2.64,1.18,1.43,1.53,0.08
1929-12-31,12.46,10.76,3.54,1.83,5.77,6.59,11.45,35.1,7.63,2.55,6.17,8.57,11.573849520334232,27.07,60.84,66.2,6.09,15.64,6.59,1.65,16.72,16.09,20.76,20.99,2.23
1930-01-31,3.99,13.53,4.45,2.3,2.75,3.14,7.9,5.58,2.45,0.82,2.72,3.25,5.473990741030823,19.37,28.43,26.11,4.15,21.62,3.14,0.79,8.51,5.64,8.54,7.43,2.8
1930-02-28,4.94,5.72,1.88,0.97,4.35,4.97,7.98,19.18,3.23,1.01,4.82,4.61,9.473044208039148,19.99,46.51,41.89,5.94,9.76,4.97,1.24,20.5,8.25,14.13,9.11,1.18
1930-03-31,4.86,18.7,6.15,3.18,4.37,4.99,8.88,11.09,3.97,1.0,7.52,4.7,10.934427843116836,31.69,53.11,57.58,9.87,36.12,4.99,1.25,38.88,9.86,19.89,7.38,3.87
1930-04-30,12.99,4.44,1.46,0.75,2.76,3.15,3.3,9.5,15.62,2.66,16.06,12.2,2.9577183474990885,28.57,49.69,84.86,5.14,12.49,3.15,0.79,23.75,29.51,23.3,15.36,0.92
1930-05-31,12.22,1.52,0.5,0.26,1.16,1.33,0.82,0.63,19.4,2.5,19.02,10.16,1.374650571887216,19.8,25.32,71.95,2.46,5.69,1.33,0.33,10.75,28.29,14.13,12.11,0.31
1930-06-30,4.01,1.19,0.39,0.2,0.44,0.5,0.21,1.42,8.1,0.82,9.38,2.93,0.3297315329018815,7.43,9.49,36.39,0.64,5.13,0.5,0.13,14.97,9.06,4.79,3.94,0.25
1930-07-31,2.66,0.0,0.0,0.0,0.24,0.27,0.12,0.0,5.75,0.54,1.16,1.73,0.15501452522124026,2.67,4.77,13.55,0.15,0.0,0.27,0.07,0.0,5.75,1.19,2.74,0.0
1930-08-31,0.0,0.27,0.09,0.05,0.24,0.27,0.08,1.59,0.0,0.0,0.4,0.0,0.6504630333405004,1.7,3.86,9.38,0.09,4.58,0.27,0.07,5.96,0.0,0.7,0.0,0.06
1930-09-30,1.78,0.15,0.05,0.03,0.29,0.33,0.09,0.0,4.16,0.37,0.17,0.71,0.3922771557420433,1.51,3.28,8.65,0.11,2.32,0.33,0.08,0.0,2.8,0.62,3.02,0.03
1930-10-31,0.0,2.64,0.87,0.45,0.44,0.5,0.51,6.48,0.0,0.0,0.01,0.0,0.8864436160284247,1.63,2.62,7.99,0.18,3.06,0.5,0.13,7.68,0.0,1.58,0.0,0.55
1930-11-30,3.08,0.0,0.0,0.0,0.71,0.81,0.73,6.66,2.66,0.63,0.0,1.74,1.588096045405022,3.24,6.05,11.31,0.95,0.0,0.81,0.2,0.0,3.8,3.37,4.83,0.0
1930-12-31,3.44,3.59,1.18,0.61,0.59,0.67,0.75,0.0,1.93,0.7,0.02,2.33,0.8995795435544016,2.0,5.02,7.99,0.22,4.31,0.67,0.17,0.0,4.53,2.47,6.06,0.74
1931-01-31,0.69,3.83,1.26,0.65,1.06,1.21,1.67,11.07,0.39,0.14,0.02,0.51,1.6917163725186328,6.0,9.39,12.95,1.6,4.89,1.21,0.3,9.5,0.95,4.03,1.32,0.79
1931-02-28,1.59,4.23,1.39,0.72,1.12,1.28,1.18,9.85,0.93,0.33,0.19,1.26,2.088925230643648,6.34,9.82,13.32,1.54,5.73,1.28,0.32,6.26,2.27,4.27,3.03,0.87
1931-03-31,4.92,4.04,1.33,0.69,1.85,2.11,1.68,13.07,3.43,1.01,2.97,4.53,3.090476145339035,12.15,18.09,29.61,2.72,6.09,2.11,0.53,6.75,9.09,9.69,8.52,0.84
1931-04-30,5.48,1.52,0.5,0.26,0.86,0.98,0.63,6.19,6.15,1.12,8.97,5.06,1.082980663331135,8.1,10.28,34.05,0.81,3.04,0.98,0.25,8.44,12.54,8.88,6.91,0.31
1931-05-31,6.35,0.94,0.31,0.16,0.35,0.4,0.33,0.0,9.56,1.3,8.6,5.15,0.4880134625867321,5.69,3.3,27.55,0.35,2.07,0.4,0.1,0.0,14.85,5.21,6.81,0.2
1931-06-30,1.98,0.7,0.23,0.12,0.11,0.13,0.11,0.21,3.8,0.41,2.64,1.41,0.29615602153994836,2.68,0.53,12.41,0.21,1.78,0.13,0.03,1.75,4.52,1.58,2.15,0.14
1931-07-31,0.51,0.46,0.15,0.08,0.08,0.09,0.06,1.67,0.99,0.1,0.57,0.36,0.1570062066647573,1.13,0.66,6.67,0.07,1.63,0.09,0.02,2.79,1.13,0.67,0.59,0.09
1931-08-31,0.0,0.06,0.02,0.01,0.08,0.09,0.04,1.59,0.0,0.0,0.32,0.0,0.08810015851582699,0.82,0.73,4.69,0.04,0.88,0.09,0.02,2.92,0.0,0.36,0.0,0.01
1931-09-30,1.38,0.12,0.04,0.02,0.12,0.14,0.03,0.0,3.06,0.28,0.05,0.62,0.28656303484704715,0.84,0.77,4.62,0.05,0.49,0.14,0.03,0.0,2.48,0.31,2.15,0.03
1931-10-31,1.7,1.09,0.36,0.19,0.58,0.66,0.8,0.0,2.81,0.35,0.37,0.66,1.032517549368822,2.28,4.17,7.73,0.34,1.54,0.66,0.17,0.0,2.1,1.1,2.24,0.23
1931-11-30,1.4,3.34,1.1,0.57,0.56,0.64,1.18,1.28,1.1,0.29,0.48,0.85,1.2846140779335253,3.56,5.1,7.94,0.91,4.87,0.64,0.16,2.73,1.64,1.76,2.16,0.69
1931-12-31,1.07,16.93,5.57,2.88,1.7,1.94,6.92,1.58,0.84,0.22,0.65,0.65,7.715639909587413,14.05,17.24,22.52,6.79,25.96,1.94,0.49,24.28,1.25,6.51,1.62,3.5
