Elevation (ft),Capacity (acre-feet),Area (acres)
5930.00,2000,0
5940.00,3920,192
5950.00,6760,284
5960.00,10600,384
5970.00,15400,480
5980.00,21000,560
5990.00,27600,660
6000.00,35300,770
6010.00,43900,860
6020.00,53200,930
6030.00,63000,938
6040.00,73500,938
