Elevation (ft),Storage (TAF),Area (acres)
6598.5,0,0
6605,0.893,30
6610,1.805,59
6615,2.693,89
6620,3.636,119
6625,4.641,148
6630,5.677,178
6635,6.807,208
6640,8.006,238
6645,9.302,267
6650,10.701,297
6655,12.203,327
6660,13.84,356
6662,14.8,386
