Elevation (ft),Capacity (acre-feet),Area (acres)
2020,3920,0
2030,5320,140
2040,6990,167
2050,8940,195
2060,11200,226
2080,16800,280
2100,23900,355
2120,32700,440
2140,43800,555
2160,57300,675
2178,72000,816.6666667
2187.5,66000,825
