Elevation (ft),Capacity (acre-feet),Area (acres)
1530.0,0,0
1540.0,5,0.5
1550.0,12,0.7
1560.0,21,0.9
1565.0,69,9.6
1570.0,250,36.2
1575.0,638,77.6
1580.0,1213,115
1590.0,2986,177.3
1600.0,5560,257.4
